[2025-01-14 00:27:50,466](main) Filepid(/run/user/1000/srv11.pid) exists, but the process is not started! Delete filepid
[2025-01-14 00:28:58,293](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A115 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f3a197ff640>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-14 00:45:21,469](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A116 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f3a197a7370>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-14 00:47:15,309](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A117 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f3a197a7f40>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-14 00:47:44,515](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A117 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f3a197ffee0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-14 00:49:00,484](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A118 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f3a197b4370>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-14 00:53:16,118](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A118 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f3a197b4f40>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-14 00:53:24,525](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A118 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f3a197b6b50>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-14 00:53:43,200](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A119 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f3a197b68b0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-14 00:54:33,713](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A120 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f3a197b4a60>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-14 00:55:09,119](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A120 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f3a197ff610>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-14 01:48:53,540](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A121 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f3a197ebfa0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-14 06:43:55,950](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A122 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f2b7cc949d0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-14 06:47:10,816](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A123 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f2b7ccb2730>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-14 06:54:35,608](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A124 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f2b7ccb2520>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-14 07:18:31,044](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A125 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f2b7cc948e0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-14 07:21:51,161](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A126 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f2b7cc45400>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-14 07:37:37,015](main) Filepid(/run/user/1000/srv11.pid) exists, but the process is not started! Delete filepid
[2025-01-14 07:37:51,638](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A127 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f841d85d940>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-14 07:44:30,344](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A128 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f841d5c8cd0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-14 07:45:30,139](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A129 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f841d5d58e0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
